key,value,version,sheet
Perk_WineFox_Dmg_3_Desc,升级战斗弹道模块，使其在更远距离仍保持可靠输出。\n伤害 <color=#FFC572>+5%</color>，射程 <color=#FFC572>+15%</color>。,2.2.2,Perks
Perk_WineFox_Dmg_4,战斗契约强化 IV,2.2.2,Perks
Perk_WineFox_Dmg_4_Desc,将整体火力训练提升至精确射击课程等级。\n伤害 <color=#FFC572>+10%</color>，暴击率 <color=#FFC572>+5%</color>，散布 <color=#FFC572>-10%</color>，散布惩罚 <color=#FFC572>-10%</color>。,2.2.2,Perks
Perk_WineFox_Dmg_5,战斗契约强化 V,2.2.2,Perks
Perk_WineFox_Dmg_5_Desc,完成战斗契约的终阶强化，使酒狐达到高阶射击表现。\n伤害 <color=#FFC572>+10%</color>，暴击率 <color=#FFC572>+10%</color>，散布 <color=#FFC572>-10%</color>，散布惩罚 <color=#FFC572>-10%</color>。,2.2.2,Perks
Perk_Maid_Flashbang,闪光弹支援,2.2.2,Perks
Perk_Maid_Flashbang_Desc,让女仆掌握专用闪光弹的投掷战术。\n在交火时可迅速干扰敌人视线，协助主人创造安全的进攻或撤离窗口。\n解锁能力：<color=#F3D38A>闪光弹投掷</color>。,2.2.2,Perks
Perk_Maid_Buff,增益支援契约,2.2.2,Perks
Perk_Maid_Buff_Desc,自动施加随机支援Buff效果。\n签订增益支援契约后，酒狐会定期为主人施放随机强化术式，让冒险节奏更轻松喔~,2.2.2,Perks
Perk_Maid_BuffPack_1,增益扩展包 I,2.2.2,Perks
Perk_Maid_BuffPack_1_Desc,扩展女仆可施放的增益组合。\n酒狐在支援主人行动时能提供更多机动性辅助了。\n解锁支援Buff：<color=#F3D38A>加速、负重、持久</color>。,2.2.2,Perks
Perk_Maid_BuffPack_2,增益扩展包 II,2.2.2,Perks
Perk_Maid_BuffPack_2_Desc,进一步扩充女仆的战斗增益术式。\n酒狐可以为主人施加更多恢复与防护类加成。\n解锁支援Buff：<color=#F3D38A>回复、硬化、镇静、强翅</color>。,2.2.2,Perks
Perk_Maid_EmergencyHeal,战地急救协议,2.2.2,Perks
Perk_Maid_EmergencyHeal_Desc,解锁[紧急治疗]技能。\n当主人或酒狐生命值降到30%以下时，她会立即启动急救术式，施加强效再生效果\n冷却时间：<color=#7FE8D8>120秒</color>。,2.2.2,Perks
SkillTree_MaidTech_Name,战斗女仆技能树,2.2.2,Perks
SkillTree_MaidTech_Desc,永久提升女仆的属性并解锁强力契约技能,2.2.2,Perks
Perk_Maid_Element,元素手雷支援,2.2.2,Perks
Perk_Maid_Element_Desc,解锁元素手雷投掷能力。\n酒狐将掌握多属性战术投掷术式，可施放[燃烧]、[电击]、[毒雾]元素手雷。,2.2.2,Perks
Perk_Maid_TeaBreak,酒狐的休憩茶点,2.2.3,Perks
Perk_Maid_TeaBreak_Desc,解锁[休憩饮食]技能。\n脱离战斗时，我会制作茶点，为主人净心回气、补充水分与能量！\n冷却时间：<color=#F3D38A>120秒</color>。,2.2.3,Perks
Item_RecoveryPotion,酒狐御制回复药,2.2.3,MaidItemName
Item_RecoveryPotion_Desc,酒狐以秘法酿造的恢复药剂，专用于快速修复受损的魔力躯体与生命核心。\n\n<color=#FFFF00>效果：</color>恢复 40% 最大生命值并解除所有创伤状态。,2.2.3,MaidItemDescription
Perk_Maid_BackpackAccess_Title,酒狐的战备行囊,2.2.3,Perks
Perk_Maid_BackpackAccess_Desc,解锁[酒狐的行囊管理]。\n主人~ 靠近我再按下 <color=#F3D38A>B 键</color>，我会马上把行囊打开给你整理哦~\n<color=#FF6A4A>不过请注意！如果某些mod发生冲突，可能会导致贵重物品消失……所以珍贵的东西还是别放在我这里比较好……</color>\n<color=#7FFFB5>小提示：现在我的行囊内容会持久保存，换场景也不会弄丢的！</color>,2.2.3,Perks
Perk_Backpack_1,备用小口袋,2.2.3,Perks
Perk_Backpack_1_Desc,增加背包容量。\n主人~ 稍微重一点的东西也可以放心交给我！我已经在女仆装的内侧悄悄缝好了几个可爱的秘密小口袋！\n背包容量：<color=#F3D38A>+10</color>,2.2.3,Perks
Perk_Backpack_2,特制大背包,2.2.3,Perks
Perk_Backpack_2_Desc,进一步增加背包容量。\n为了在长时间探险中为主人帮上更多忙，我换上了容量更大的特制背包！\n背包容量：<color=#F3D38A>+10</color>,2.2.3,Perks
Perk_Backpack_3,神奇战备行囊,2.2.3,Perks
Perk_Backpack_3_Desc,大幅增加背包容量。\n嘿嘿~ 主人你看，只要稍微施一点小小的术式，把大量战利品塞进去也完全没问题♪\n背包容量：<color=#F3D38A>+10</color>,2.2.3,Perks
Setting_Key_InvManage,指令: 管理女仆背包,2.2.3,KeyBindings
Settings_BuffBlockList,禁用Buff列表 (ID用逗号隔开),2.2.3,GeneralSettings
Settings_Key_Passive,指令: 开启/关闭和平模式,2.2.3,KeyBindings
Settings_LootMinValue,最低搜刮价值,2.2.3,GeneralSettings
Settings_Group_AI,AI 智能设置,2.2.3,Groups
Settings_IgnoreSearched,忽略已搜索容器,2.2.3,GeneralSettings
Settings_MaidAlertVolume,女仆警觉语音音量,2.2.3,CustomMaid
Settings_EnableElementalGrenades,允许投掷元素手雷,2.2.3,GeneralSettings
Perk_Combat_Scatter_1,精确射击 I,2.2.3,Perks
Perk_Combat_Scatter_1_Desc,提升酒狐的枪械精准度，减少开火散布。\n\n散布范围 <color=#FFC572>-20%</color>\n移动射击散布 <color=#FFC572>-20%</color>\n盲射散布 <color=#FFC572>-20%</color>,2.2.3,Perks
Perk_Combat_Scatter_2,精确射击 II,2.2.3,Perks
Perk_Combat_Scatter_2_Desc,进一步提升枪械精准度，远距离射击更稳定。\n\n散布范围 <color=#FFC572>额外-20%</color>\n移动射击散布 <color=#FFC572>额外-20%</color>\n盲射散布 <color=#FFC572>额外-20%</color>,2.2.3,Perks
Perk_Combat_Scatter_3,精确射击 III,2.2.3,Perks
Perk_Combat_Scatter_3_Desc,精确射击达到极致，枪械子弹如同激光般精准。\n\n散布范围 <color=#FFC572>额外-30%</color>\n移动射击散布 <color=#FFC572>额外-30%</color>\n盲射散布 <color=#FFC572>额外-30%</color>,2.2.3,Perks
Perk_Combat_Sight_1,灵狐瞳 I,2.2.3,Perks
Perk_Combat_Sight_1_Desc,提升基础的环境感知能力，能更早发现附近的威胁。\n\n视野距离 <color=#7FE8D8>+5米</color>\n视野角度 <color=#7FE8D8>+15度</color>,2.2.3,Perks
Perk_Combat_Sight_2,灵狐瞳 II,2.2.3,Perks
Perk_Combat_Sight_2_Desc,强化动态视觉捕捉，大幅扩大索敌范围。\n\n视野距离 <color=#7FE8D8>+6米</color>\n视野角度 <color=#7FE8D8>+25度</color>,2.2.3,Perks
Perk_Combat_Sight_3,灵狐瞳 III,2.2.3,Perks
Perk_Combat_Sight_3_Desc,极限的侦察感知能力，即使在黑夜中也能洞察秋毫。\n\n视野距离 <color=#7FE8D8>+7米</color>\n视野角度 <color=#7FE8D8>+35度</color>\n获得夜视能力,2.2.3,Perks
Item_MaidRecallBell,女仆召回铃,2.2.3,MaidItemName
Item_MaidRecallBell_Desc,摇响铃铛，命令所有当前跟随的女仆撤退。此物品不会消耗。,2.2.3,MaidItemDescription
Settings_MaidVoiceVolume,女仆语音音量,2.2.3,CustomMaid
Item_MaidContractWineFox_Cooldown,契约冷却中... {0}秒,2.2.3,MaidItem
Item_MaidContractWineFox_Rebuild,正在重铸酒狐躯体...,2.2.3,MaidItem
Item_MaidContractWineFox_Respond,酒狐契约响应中...,2.2.3,MaidItem
Item_MaidRecallBell_OnUse,全员撤退！,2.2.3,MaidItem
Item_MaidVial_OnUse,瓶中女仆 [{0}] 已就绪！,2.2.3,MaidItem
Skill_GrenadeThrow_Execute,投掷手雷！,2.2.3,Skill
Skill_SelfHeal_UseItem,使用: {0},2.2.3,Skill
Skill_SelfHeal_NoDrug,主人我没有药了！,2.2.3,Skill
Skill_SquadCoordination_Execute,集火目标！,2.2.3,Skill
Skill_EmergencyHeal_Execute,紧急治疗！,2.2.3,Skill
Skill_VanillaBuff_Happy,主人要开心哦~,2.2.3,Skill
Skill_VanillaBuff_ExtraBuff,\n给主人buff了！ ({0}),2.2.3,Skill
